employeeCode,name,email,department,designation,phone
VIGN-FAC-001,Faculty Name 1,faculty1@vignanerp.test,IT,Assistant Professor,9848010001
VIGN-FAC-002,Faculty Name 2,faculty2@vignanerp.test,ECE,Associate Professor,9848010002
VIGN-FAC-003,Faculty Name 3,faculty3@vignanerp.test,EEE,Lecturer,9848010003
VIGN-FAC-004,Faculty Name 4,faculty4@vignanerp.test,CIVIL,Professor,9848010004
VIGN-FAC-005,Faculty Name 5,faculty5@vignanerp.test,CSE,Assistant Professor,9848010005
VIGN-FAC-006,Faculty Name 6,faculty6@vignanerp.test,IT,Associate Professor,9848010006
VIGN-FAC-007,Faculty Name 7,faculty7@vignanerp.test,ECE,Lecturer,9848010007
VIGN-FAC-008,Faculty Name 8,faculty8@vignanerp.test,EEE,Professor,9848010008
VIGN-FAC-009,Faculty Name 9,faculty9@vignanerp.test,CIVIL,Assistant Professor,9848010009
VIGN-FAC-010,Faculty Name 10,faculty10@vignanerp.test,CSE,Associate Professor,9848010010
VIGN-FAC-011,Faculty Name 11,faculty11@vignanerp.test,IT,Lecturer,9848010011
VIGN-FAC-012,Faculty Name 12,faculty12@vignanerp.test,ECE,Professor,9848010012
VIGN-FAC-013,Faculty Name 13,faculty13@vignanerp.test,EEE,Assistant Professor,9848010013
VIGN-FAC-014,Faculty Name 14,faculty14@vignanerp.test,CIVIL,Associate Professor,9848010014
VIGN-FAC-015,Faculty Name 15,faculty15@vignanerp.test,CSE,Lecturer,9848010015
