admissionNo,name,email,department,year,section,batch,gender,dateOfBirth,address,phone
23891A0501,Rahul Pillai,student_23891a0501@vignanerp.test,CSE,2,A,2023-2027,female,2005-10-01,"Flat 189, Road No 7, Hyderabad",918942086854
23891A0502,Aditya Rao,student_23891a0502@vignanerp.test,CSE,3,C,2023-2027,female,2005-12-20,"Flat 197, Road No 10, Hyderabad",917863302563
23891A0503,Meera Sen,student_23891a0503@vignanerp.test,CSE,2,B,2023-2027,male,2005-01-09,"Flat 368, Road No 9, Hyderabad",917567235712
23891A0504,Riddhi Pillai,student_23891a0504@vignanerp.test,CSE,1,C,2023-2027,female,2005-02-26,"Flat 312, Road No 9, Hyderabad",917906204363
23891A0505,Sneha Rao,student_23891a0505@vignanerp.test,CSE,4,C,2023-2027,male,2005-03-20,"Flat 129, Road No 5, Hyderabad",917577085670
23891A1201,Karan Deshmukh,student_23891a1201@vignanerp.test,IT,4,B,2023-2027,female,2005-11-09,"Flat 192, Road No 9, Hyderabad",919281674913
23891A1202,Amit Verma,student_23891a1202@vignanerp.test,IT,3,B,2023-2027,male,2005-04-28,"Flat 322, Road No 2, Hyderabad",917677334130
23891A1203,Karan Das,student_23891a1203@vignanerp.test,IT,2,C,2023-2027,male,2005-12-07,"Flat 456, Road No 5, Hyderabad",916419459944
23891A1204,Ishaan Choudhury,student_23891a1204@vignanerp.test,IT,2,C,2023-2027,male,2005-11-10,"Flat 448, Road No 11, Hyderabad",916915269567
23891A1205,Kunal Bose,student_23891a1205@vignanerp.test,IT,1,A,2023-2027,female,2005-09-16,"Flat 384, Road No 10, Hyderabad",917360272742
23891A0401,Tanya Joshi,student_23891a0401@vignanerp.test,ECE,3,B,2023-2027,female,2005-01-21,"Flat 495, Road No 3, Hyderabad",918723299541
23891A0402,Arjun Rao,student_23891a0402@vignanerp.test,ECE,4,C,2023-2027,male,2005-01-03,"Flat 335, Road No 3, Hyderabad",917072177740
23891A0403,Vihaan Joshi,student_23891a0403@vignanerp.test,ECE,1,C,2023-2027,female,2005-07-09,"Flat 265, Road No 7, Hyderabad",919597705714
23891A0404,Rohan Pillai,student_23891a0404@vignanerp.test,ECE,3,B,2023-2027,female,2005-01-03,"Flat 505, Road No 1, Hyderabad",919600365021
23891A0405,Saanvi Deshmukh,student_23891a0405@vignanerp.test,ECE,3,C,2023-2027,female,2005-07-19,"Flat 380, Road No 4, Hyderabad",916471662663
23891A0201,Vikram Choudhury,student_23891a0201@vignanerp.test,EEE,2,B,2023-2027,male,2005-07-01,"Flat 362, Road No 4, Hyderabad",917376934582
23891A0202,Diya Kulkarni,student_23891a0202@vignanerp.test,EEE,1,C,2023-2027,male,2005-11-05,"Flat 421, Road No 11, Hyderabad",916017379943
23891A0203,Rahul Sen,student_23891a0203@vignanerp.test,EEE,4,A,2023-2027,female,2005-09-21,"Flat 261, Road No 7, Hyderabad",916652219604
23891A0204,Priya Verma,student_23891a0204@vignanerp.test,EEE,2,A,2023-2027,female,2005-03-27,"Flat 101, Road No 8, Hyderabad",917347640846
23891A0205,Rahul Das,student_23891a0205@vignanerp.test,EEE,1,B,2023-2027,male,2005-05-06,"Flat 191, Road No 10, Hyderabad",916893771186
23891A0101,Meera Pillai,student_23891a0101@vignanerp.test,CIVIL,3,A,2023-2027,female,2005-11-22,"Flat 460, Road No 11, Hyderabad",918084306738
23891A0102,Diya Verma,student_23891a0102@vignanerp.test,CIVIL,4,C,2023-2027,female,2005-01-22,"Flat 486, Road No 3, Hyderabad",919079533615
23891A0103,Riya Rao,student_23891a0103@vignanerp.test,CIVIL,1,B,2023-2027,female,2005-01-14,"Flat 382, Road No 2, Hyderabad",917383992744
23891A0104,Arjun Patel,student_23891a0104@vignanerp.test,CIVIL,1,C,2023-2027,male,2005-01-11,"Flat 326, Road No 7, Hyderabad",918450408197
23891A0105,Rahul Deshmukh,student_23891a0105@vignanerp.test,CIVIL,2,A,2023-2027,male,2005-02-15,"Flat 491, Road No 2, Hyderabad",919024229367
23891A3301,Aishwarya Bose,student_23891a3301@vignanerp.test,AI&DS,3,A,2023-2027,female,2005-10-13,"Flat 229, Road No 5, Hyderabad",918042830695
23891A3302,Kunal Joshi,student_23891a3302@vignanerp.test,AI&DS,4,A,2023-2027,female,2005-09-23,"Flat 487, Road No 3, Hyderabad",917591394793
